total_duration,e_mean,e_slope,p_mean,p_slope,window_duration,target,turn_id,pause_index
9.6,-38.624344,-0.037774645,176.69852,3.2743254,1.5,0,en__016,0
14.9,-35.747093,-0.15559573,195.39536,1.542468,1.5,0,en__016,1
18.3,-38.48462,0.0020071804,165.90524,-0.45311567,1.5,1,en__016,2
2.5,-67.963135,0.71720314,153.4643,-0.5175916,1.5,0,en__017,0
7.3,-41.037136,-0.17556913,136.12494,0.62439597,1.5,1,en__017,1
3.3,-83.39457,0.7486509,184.53575,-3.7661507,1.5,0,en__018,0
4.9,-72.99297,0.8307473,202.45425,-0.93023396,1.5,0,en__018,1
5.9,-39.387806,-0.09228621,190.88185,-0.42500773,1.5,0,en__018,2
9.0,-61.04287,0.80754423,165.34161,-0.732241,1.5,0,en__018,3
10.0,-50.43461,-0.028758759,163.14589,0.5328017,1.5,0,en__018,4
11.0,-43.975418,-0.23362784,190.88696,0.83113307,1.5,1,en__018,5
7.2,-36.89691,-0.14012262,304.76895,-0.30127352,1.5,1,en__019,0
8.2,-33.01046,0.029917723,197.86377,0.5102613,1.5,0,en__020,0
9.2,-39.0306,-0.0957076,208.70224,0.14179164,1.5,0,en__020,1
13.2,-31.378061,-0.121502824,167.13434,-0.18888503,1.5,1,en__020,2
3.7,-72.19129,0.7742679,107.28813,-0.35739484,1.5,1,en__021,0
7.5,-42.39913,-0.122014776,116.053215,1.0827489,1.5,0,en__022,0
8.3,-46.344402,-0.018100755,132.23001,0.2092904,1.5,1,en__022,1
4.2,-31.249182,-0.11485435,185.87135,0.727303,1.5,0,en__023,0
8.3,-30.83052,-0.20399906,181.01596,-0.18723935,1.5,0,en__023,1
10.2,-25.845514,-0.123879366,164.70352,-0.22394465,1.5,1,en__023,2
3.0,-27.378239,-0.12240867,270.67548,0.17972855,1.5,0,en__024,0
5.5,-36.203964,0.07167142,222.60728,-1.0266144,1.5,0,en__024,1
8.5,-28.076178,-0.25482193,217.75725,-0.472316,1.5,1,en__024,2
3.3,-37.827423,0.1079371,243.32597,0.14060436,1.5,1,en__025,0
4.8,-39.855064,-0.053039033,206.5884,-1.0024401,1.5,1,en__026,0
3.5,-56.71033,0.46453616,161.69066,0.64459777,1.5,0,en__027,0
4.2,-48.8054,-0.1656565,162.17065,-0.34257746,1.5,1,en__027,1
2.1,-67.64884,0.6530463,269.70407,3.3736491,1.5,0,en__028,0
2.8,-39.57271,0.1566291,251.93474,-0.46183747,1.5,1,en__028,1
3.6,-36.89135,-0.13939926,212.02878,-0.39065295,1.5,0,en__029,0
8.1,-45.10785,-0.07948553,203.42754,1.3280525,1.5,0,en__029,1
14.8,-51.190216,-0.30136055,199.19283,1.3326392,1.5,1,en__029,2
3.3,-37.108032,-0.11402523,222.12173,-0.93449116,1.5,0,en__030,0
5.3,-32.51222,-0.08167576,229.96626,0.05205425,1.5,0,en__030,1
8.0,-41.36603,-0.14015503,210.2997,-0.7415024,1.5,0,en__030,2
10.4,-37.534126,-0.05954897,216.3529,-0.20623447,1.5,0,en__030,3
13.6,-33.985245,-0.012677841,205.46457,0.12828301,1.5,1,en__030,4
3.2,-46.89786,0.53876066,127.424675,-0.03933785,1.5,1,en__031,0
4.7,-34.168568,-0.029324194,126.72635,-0.10278707,1.5,0,en__032,0
8.0,-35.894066,-0.07917034,127.113106,-0.2920872,1.5,1,en__032,1
4.0,-40.32179,0.21284188,191.71,0.047646813,1.5,1,en__033,0
5.0,-32.0376,-0.023569377,118.85902,0.07540018,1.5,0,en__034,0
7.3,-36.875694,-0.18027914,132.41849,0.2663115,1.5,1,en__034,1
4.0,-35.81979,-0.092492476,180.21843,-0.29050285,1.5,0,en__035,0
7.4,-34.177853,-0.1517938,175.7991,0.16622594,1.5,0,en__035,1
11.3,-32.01098,-0.103040926,191.9599,-0.19278991,1.5,1,en__035,2
3.3,-30.142094,-0.23483746,190.67389,-1.1627754,1.5,0,en__036,0
5.4,-38.959457,-0.47330308,171.68932,0.39763448,1.5,0,en__036,1
7.8,-32.171032,-0.07082162,183.08058,0.07241411,1.5,1,en__036,2
6.2,-37.748035,-0.049468968,196.42694,0.5423619,1.5,0,en__037,0
14.1,-35.05203,-0.11148944,166.84196,-0.64849347,1.5,0,en__037,1
16.3,-29.72426,-0.023675554,191.14928,0.33400404,1.5,0,en__037,2
17.3,-35.308434,-0.003445278,203.47134,0.1107459,1.5,1,en__037,3
6.3,-30.307405,-0.088293746,196.57332,0.366441,1.5,0,en__038,0
7.9,-28.063078,-0.10668448,198.40996,-0.22640415,1.5,0,en__038,1
10.8,-27.055325,-0.07046506,209.94562,-0.49701202,1.5,0,en__038,2
14.7,-35.922806,0.18070413,188.174,-0.104415104,1.5,1,en__038,3
3.2,-24.139793,-0.090133846,212.02213,-0.45991847,1.5,0,en__039,0
5.3,-29.783054,-0.021163495,215.32295,-0.16716704,1.5,0,en__039,1
7.4,-29.429266,-0.24300988,206.76913,1.6597564,1.5,1,en__039,2
3.8,-51.228237,0.5229038,217.19633,-0.64990014,1.5,1,en__040,0
4.3,-65.2133,0.6579121,131.40674,-0.48237196,1.5,1,en__041,0
12.6,-50.86919,0.22905426,197.69412,0.56063294,1.5,0,en__042,0
14.5,-47.357533,0.47651616,177.85376,-0.13139372,1.5,0,en__042,1
18.5,-27.5507,-0.12050221,146.8233,-0.113952994,1.5,0,en__042,2
19.9,-44.826702,0.41379744,188.41467,0.34554994,1.5,0,en__042,3
21.4,-50.838627,0.77986777,184.62158,0.67179376,1.5,1,en__042,4
1.8,-71.91293,0.66457003,130.04138,-0.09830382,1.5,1,en__043,0
7.2,-42.13511,0.02440463,224.85574,1.0511523,1.5,0,en__044,0
8.3,-51.813892,0.16824885,252.69016,-0.04045749,1.5,0,en__044,1
10.0,-52.295773,0.4413086,204.03198,-1.4254757,1.5,1,en__044,2
6.4,-31.161001,-0.030030904,221.5701,0.0076126,1.5,0,en__045,0
10.0,-34.952187,-0.07579294,197.42099,-0.4902629,1.5,1,en__045,1
6.6,-26.32553,0.0090706395,212.5233,-0.34406504,1.5,0,en__046,0
8.6,-65.253845,0.6592984,212.10217,-0.24290593,1.5,0,en__046,1
9.9,-73.37665,0.59204096,217.72606,-1.6020956,1.5,1,en__046,2
4.0,-85.577225,0.80373514,200.91711,-0.22563729,1.5,1,en__047,0
5.7,-37.766647,0.3483863,175.49509,-0.28714922,1.5,0,en__048,0
6.9,-43.12565,0.05612251,162.36539,-0.2902424,1.5,1,en__048,1
4.9,-32.53048,0.006595914,207.86775,-0.37201715,1.5,0,en__049,0
9.6,-33.281227,-0.18742381,206.31544,0.9550101,1.5,0,en__049,1
12.6,-34.888817,-0.11284552,220.16675,0.6153821,1.5,0,en__049,2
16.1,-31.76973,-0.028807981,177.19107,0.08334773,1.5,0,en__049,3
17.7,-94.430336,0.62742794,186.85387,2.585894,1.5,1,en__049,4
6.4,-30.584377,-0.08955769,224.96817,-0.46048626,1.5,1,en__050,0
8.4,-34.260372,0.0066382745,92.77553,-0.058689862,1.5,0,en__051,0
9.5,-42.707066,0.07095591,99.9023,0.19511998,1.5,0,en__051,1
10.9,-66.15546,0.476159,174.52809,3.5168965,1.5,1,en__051,2
9.2,-33.475346,-0.069108434,162.02545,-1.0667216,1.5,0,en__052,0
11.1,-46.61536,0.027184982,130.74677,-0.23942092,1.5,0,en__052,1
12.4,-42.94403,0.11326948,176.89943,-0.07355974,1.5,1,en__052,2
3.6,-58.418247,0.6912484,254.2707,0.42489728,1.5,0,en__053,0
8.2,-33.141396,-0.12107119,208.61224,0.23311016,1.5,1,en__053,1
4.6,-32.38663,-0.123877436,142.01608,-0.316059,1.5,0,en__054,0
5.6,-45.139603,0.08570404,134.78568,0.08881385,1.5,1,en__054,1
9.5,-36.249386,-0.08596668,162.05687,0.11836562,1.5,1,en__055,0
4.0,-37.123615,-0.14467931,128.52065,0.08597623,1.5,1,en__056,0
6.0,-37.679504,0.0033143866,169.75024,-1.5400999,1.5,1,en__057,0
1.7,-95.20509,0.68982506,188.29568,-2.7391129,1.5,1,en__058,0
2.4,-34.354473,-0.16989987,184.5503,-0.2824966,1.5,0,en__059,0
3.7,-63.00343,0.6378878,150.96553,-0.49506623,1.5,0,en__059,1
4.9,-37.792507,0.25795868,162.81938,0.24016963,1.5,1,en__059,2
5.3,-35.65682,-0.032313526,120.55545,-0.12075158,1.5,0,en__060,0
6.8,-36.522717,0.18533039,97.7687,0.08175559,1.5,1,en__060,1
4.0,-73.69918,0.79801065,103.6174,-0.9447358,1.5,0,en__061,0
5.1,-42.485474,-0.008279601,141.78018,-0.34773386,1.5,0,en__061,1
8.8,-36.581886,0.04632913,124.89508,0.1824596,1.5,1,en__061,2
2.2,-73.7578,0.83076274,182.87723,-1.3160453,1.5,1,en__062,0
7.4,-40.95213,0.019167943,124.835846,-0.36921054,1.5,0,en__063,0
11.5,-34.218422,-0.1712891,107.69136,0.07338222,1.5,1,en__063,1
2.8,-46.901245,0.63685113,119.74816,-1.9578282,1.5,0,en__064,0
4.0,-58.53002,0.019203879,110.67229,0.24666528,1.5,1,en__064,1
2.4,-28.878906,-0.08246274,220.21184,-0.3044826,1.5,0,en__065,0
4.1,-40.483208,0.11415224,252.163,0.67611706,1.5,0,en__065,1
5.7,-45.40739,0.11449511,216.90407,-0.87139416,1.5,1,en__065,2
2.8,-52.534958,0.5179801,225.97672,-0.66831815,1.5,0,en__066,0
3.8,-36.347694,-0.06271025,182.91959,-0.24854213,1.5,1,en__066,1
3.9,-30.489244,0.014238724,225.11845,-0.39137286,1.5,0,en__067,0
7.9,-35.6821,-0.17223312,218.58815,0.3404339,1.5,0,en__067,1
10.6,-33.433044,-0.0754614,225.40071,-0.19321518,1.5,1,en__067,2
5.1,-33.58627,-0.2806725,219.76578,0.105954885,1.5,0,en__068,0
15.1,-31.54799,0.018624973,211.41302,0.024259267,1.5,0,en__068,1
16.5,-53.260925,0.3555948,268.64252,-1.126714,1.5,1,en__068,2
8.4,-31.305466,0.0929688,122.26964,0.05936655,1.5,0,en__069,0
10.3,-28.96841,-0.07327454,131.69144,-0.098726384,1.5,1,en__069,1
10.4,-31.326027,-0.29096428,224.07928,-0.19941136,1.5,0,en__070,0
12.0,-48.969387,0.581579,151.0323,-0.0033571327,1.5,0,en__070,1
13.4,-84.017944,0.66723526,187.14581,0.22886132,1.5,0,en__070,2
15.0,-81.77527,0.73204917,158.18387,-1.018379,1.5,0,en__070,3
17.8,-63.826515,0.43417436,233.2604,3.7778044,1.5,0,en__070,4
20.3,-34.654205,-0.13044094,246.25992,-1.2055626,1.5,0,en__070,5
22.0,-33.29795,0.207009,221.18532,-0.312106,1.5,1,en__070,6
5.3,-40.276634,-0.1471573,191.37688,0.35287288,1.5,1,en__071,0
6.6,-33.709778,-0.06004646,96.026436,-0.4133342,1.5,1,en__072,0
4.6,-39.841328,-0.0037630321,236.721,-0.53778225,1.5,0,en__073,0
7.8,-35.829636,-0.1564073,201.61755,-0.34108526,1.5,1,en__073,1
3.2,-38.761486,0.111668915,217.17574,-1.402472,1.5,1,en__074,0
11.0,-45.304993,-0.22476822,195.58908,-0.83845055,1.5,1,en__075,0
2.2,-51.808918,0.23047169,125.23585,-0.6193788,1.5,1,en__076,0
4.6,-28.567696,-0.13189648,245.51465,0.5027933,1.5,0,en__077,0
7.3,-41.516563,-0.11816201,225.96423,0.24910937,1.5,0,en__077,1
10.2,-31.841751,-0.047356326,211.38872,0.11377041,1.5,1,en__077,2
10.7,-40.921177,0.3942113,218.97133,1.0239537,1.5,1,en__078,0
3.2,-30.528498,-0.2482605,111.17596,0.27302507,1.5,0,en__079,0
7.5,-31.001686,-0.07542846,111.5178,0.93264824,1.5,1,en__079,1
8.9,-73.83675,0.68738246,230.84035,0.8168793,1.5,0,en__080,0
10.7,-51.20685,0.41101435,220.8656,-1.1190652,1.5,0,en__080,1
14.3,-32.795162,0.059230633,216.04816,-0.17901178,1.5,0,en__080,2
15.9,-34.456337,-0.020981075,220.75351,1.4301153,1.5,0,en__080,3
17.3,-43.02262,0.43897203,193.63828,0.14809005,1.5,0,en__080,4
19.6,-41.29057,0.43347982,203.65407,-1.3229465,1.5,1,en__080,5
9.5,-25.424835,-0.079996854,182.47229,-0.34259433,1.5,0,en__081,0
15.6,-31.504612,-0.22846392,190.36176,0.59238815,1.5,0,en__081,1
17.4,-69.05113,0.7816678,174.80002,0.6269792,1.5,0,en__081,2
19.3,-42.24005,0.44661155,170.11269,-0.010821641,1.5,0,en__081,3
21.6,-70.693054,0.72023135,202.85626,1.1380029,1.5,1,en__081,4
3.3,-32.898434,-0.10853994,226.62267,-0.70895827,1.5,0,en__082,0
5.3,-41.63907,0.08818705,208.15668,-0.39832738,1.5,1,en__082,1
3.3,-37.80763,-0.061480585,211.76897,-0.53934026,1.5,0,en__083,0
5.9,-44.263348,-0.1854844,208.7984,0.0016842951,1.5,0,en__083,1
7.8,-44.408607,-0.030845921,205.47412,-0.36876327,1.5,1,en__083,2
3.5,-92.78842,0.7445509,145.0114,-1.2084169,1.5,1,en__084,0
4.9,-72.91119,0.7529746,205.88274,-2.1045206,1.5,1,en__085,0
7.8,-33.512833,-0.16800503,223.18213,-0.15222907,1.5,0,en__086,0
10.1,-28.906788,-0.10599473,234.30287,0.87481254,1.5,0,en__086,1
13.1,-36.34639,-0.103419505,289.67078,-0.20252326,1.5,1,en__086,2
7.0,-34.248245,-0.13574688,283.52496,1.1148311,1.5,1,en__087,0
7.0,-37.088875,-0.023402404,158.36417,0.19076386,1.5,0,en__088,0
9.8,-33.910435,0.06917243,129.92192,0.05496022,1.5,1,en__088,1
10.5,-34.769054,-0.2876803,201.60822,0.5709016,1.5,0,en__089,0
12.7,-33.95449,0.036034588,212.43253,0.17371854,1.5,1,en__089,1
11.1,-43.13518,0.007626772,118.078354,0.41114414,1.5,0,en__090,0
12.2,-48.12758,0.055400196,142.20155,-0.6252411,1.5,0,en__090,1
16.4,-28.89634,-0.048297066,113.71348,0.08746375,1.5,0,en__090,2
20.2,-39.389866,-0.15174334,125.99644,0.08769434,1.5,1,en__090,3
0.6,-43.359043,0.5262767,192.87895,-4.407897,0.6,0,en__091,0
5.9,-35.664867,-0.06580914,169.90143,-0.40195805,1.5,0,en__091,1
13.5,-30.241085,-0.03060816,149.35286,0.008432034,1.5,0,en__091,2
18.1,-33.46249,-0.13440555,120.48347,0.13738556,1.5,0,en__091,3
19.3,-42.20808,0.2729374,157.55194,-0.27947482,1.5,0,en__091,4
23.3,-37.7126,-0.11322715,157.81354,0.23812784,1.5,0,en__091,5
25.4,-35.613903,-0.19385426,129.62769,0.55487466,1.5,0,en__091,6
33.5,-38.613075,-0.20934317,159.09474,0.0048953327,1.5,1,en__091,7
3.4,-89.27283,0.6070981,144.38301,-1.5248488,1.5,0,en__092,0
4.7,-44.932484,0.20848194,154.2187,-0.1211857,1.5,1,en__092,1
4.7,-26.478546,-0.051838916,183.97739,-0.25336727,1.5,0,en__093,0
9.6,-43.036957,0.26528072,150.84431,-0.4815897,1.5,0,en__093,1
13.5,-39.182903,-0.082247,184.127,0.6379194,1.5,0,en__093,2
16.1,-26.515785,-0.18391816,199.60135,1.4914308,1.5,0,en__093,3
18.6,-48.886383,0.19756052,216.21375,1.8935065,1.5,1,en__093,4
3.6,-29.793434,-0.12160924,148.0506,-0.2191684,1.5,0,en__094,0
5.2,-34.955967,-0.041243777,145.03227,0.038920123,1.5,1,en__094,1
14.8,-27.224821,0.010219219,198.33638,0.22859383,1.5,0,en__095,0
19.0,-51.829132,0.38880312,210.31596,0.46828875,1.5,0,en__095,1
19.8,-43.318344,0.0728569,185.24672,-0.8258135,1.5,0,en__095,2
24.1,-25.694399,-0.01652034,192.50394,0.46520135,1.5,0,en__095,3
26.1,-60.61237,0.30846325,202.4522,2.0216591,1.5,0,en__095,4
29.5,-31.407042,-0.22168887,181.46754,0.01717318,1.5,1,en__095,5
3.5,-30.907837,-0.09549001,146.00827,-0.46150225,1.5,1,en__096,0
2.0,-62.75758,0.72168314,180.71503,0.7431433,1.5,0,en__097,0
2.9,-40.962185,-0.06976072,159.01854,-0.10808366,1.5,1,en__097,1
5.5,-34.402943,-0.093892366,184.81645,-0.264049,1.5,1,en__098,0
2.7,-34.2911,0.0068073357,194.27023,-0.20160006,1.5,1,en__099,0
